Year,State,TOT_POP,WHT,BLK,AI_ALSK,ASN,NH_PI,POV_AA,UN_EMP,TOT_POP_25,LESS_9,9_12_NO_D,HSC_EQU,SC_NO_D,ASSO,BACH,GRAD
2010,Washington,6741386,5543875,253619,123388,495511,43854,890251,350782,4505657,4.1,6.1,23.8,25.5,9.4,19.9,11.1
2010,West Virginia,1854315,1747377,63999,3990,12766,482,327459,70215,1294747,6.1,10.7,41.6,18.3,5.8,10.9,6.6
2010,Wisconsin,5690403,5037641,367712,60404,132752,2527,731564,267119,3800295,3.5,6.4,33.3,21.1,9.3,17.4,9
2010,Wyoming,564376,529688,5174,14465,4669,518,62636,19553,370951,2.6,5.1,30.2,27.3,10.7,15.7,8.4
2011,Alabama,4798649,3368758,1266977,32798,57573,5036,896117,212257,3193078,5.6,11.7,30.9,22.2,7.4,13.9,8.4
2011,Alaska,722259,489400,25383,108060,40816,8131,76021,27752,456862,3.1,5.2,28.1,29.9,7.4,16.9,9.5
2011,Arizona,6465488,5462191,288742,341867,196703,16444,1201376,288547,4211223,6.2,8.1,24.6,26.2,8.3,17.1,9.5
2011,Arkansas,2938640,2355934,457718,26642,39749,7241,550079,113168,1943427,6.2,10,35.7,22,5.8,13.1,7.2
2011,California,37672654,27856325,2496077,626439,5178171,184724,6121726,2156967,24443872,10.3,8.6,21.1,22.1,7.7,19.2,11.1
2011,Colorado,5116411,4518943,219804,79742,150987,8784,669267,228814,3387310,4,5.8,22.4,22.8,8.3,23.3,13.4
2011,Connecticut,3591927,2952100,398515,17274,147365,3589,373284,168808,2444403,4.4,6.5,27.7,17.9,7.3,20.5,15.7
2011,Delaware,907884,649467,199995,5955,30897,702,111176,33260,611120,4.7,8.3,31.6,19.6,7,17.1,11.7
2011,District of Columbia,620336,263698,314201,3402,22944,837,111906,71214,428261,5.1,7.7,17.7,14.2,2.8,23.3,29.2
2011,Florida,19097369,14978909,3164040,91334,494404,19538,3178155,928904,13267581,5.6,8.4,30.4,20.8,8.9,16.5,9.3
2011,Georgia,9810595,6178692,3056241,48995,340739,10744,1836715,485449,6308961,5.8,9.8,29.3,20.8,6.7,17.7,9.8
2011,Hawaii,1378323,353118,24796,5157,534116,141036,161606,44934,939512,4.4,5,28.5,23,10,19.2,9.9
2011,Idaho,1583180,1488310,11510,26578,20704,2860,256257,63712,998460,4.5,6.9,27.5,26.9,8.9,17.5,7.8
2011,Illinois,12862298,10034662,1902252,73941,625999,7539,1871484,638527,8521694,5.6,7.2,27.6,21.3,7.3,19.3,11.7
2011,Indiana,6515358,5650465,611164,24831,112854,3633,1001053,290046,4255459,4.2,8.6,35.5,20.9,7.9,14.8,8.2
2011,Iowa,3063690,2846859,94833,14122,58163,2676,376300,92199,2027201,3.7,5.7,33.1,21.3,10.5,17.7,8.1
2011,Kansas,2868756,2509303,175015,33396,72754,2790,383859,97005,1852094,4.1,5.8,27.9,24.6,7.4,19.7,10.4
2011,Kentucky,4368505,3880364,349138,12248,53158,3247,809764,193482,2922350,7,10,34.1,20.9,7,12.3,8.8
2011,Louisiana,4574388,2918623,1480611,33677,75264,2674,910266,162196,2972737,6.1,11.4,34.5,21.7,5.2,14,7.1
2011,Maine,1327968,1267197,17176,8868,14341,392,183723,55196,942537,3.4,5.7,33.4,20.3,8.9,17.9,10.5
2011,Maryland,5843115,3562014,1758155,31402,342142,5523,581244,224477,3915657,4.3,6.9,25.8,19.9,6.3,20.4,16.5
2011,Massachusetts,6612178,5545808,520751,30533,378168,6094,740512,251554,4502048,5,5.8,25.9,16.4,7.8,22.3,16.8
2011,Michigan,9876199,7927668,1414357,69056,252645,3575,1687624,486815,6588324,3.5,7.7,30.8,23.9,8.4,15.7,9.9
2011,Minnesota,5345967,4636789,292000,69321,228796,3146,617185,191015,3560801,3.3,4.7,26.9,22.4,10.3,21.8,10.5
2011,Mississippi,2977452,1789748,1110268,16977,27544,1689,658232,134061,1912708,6.6,12.3,30.2,22.7,8.3,12.6,7.3
2011,Missouri,6010280,5046587,704152,31164,104370,7582,922103,258562,4008554,3.9,8.5,31.4,22.9,7.1,16.4,9.7
2011,Montana,996866,895793,4901,64722,6871,771,148183,34822,676793,2,5.7,30.5,25.1,8.4,19.6,8.6
2011,Nebraska,1841641,1658413,87782,24296,35216,2119,230003,44197,1196112,3.9,5.1,29,24.4,9.6,18.9,9.1
2011,Nevada,2718170,2108271,235680,43499,210811,19585,423195,178851,1810960,6.4,9.6,29.2,25.2,7.2,14.9,7.6
2011,New Hampshire,1318345,1247400,17082,3588,30336,553,114906,39770,914207,2.8,5.8,29.3,19.2,9.5,21,12.4
2011,New Jersey,8844694,6550029,1293048,50610,775813,8018,897916,426808,6004613,5.6,6.3,29.4,17.3,6.1,22,13.3
2011,New Mexico,2077744,1732010,49769,212834,32388,3230,427340,70051,1354186,7.3,9.6,26.6,23.6,7.5,14.4,11.1
2011,New York,19526372,13938360,3413907,184894,1536669,24671,3043461,789304,13197704,6.8,8.1,27.5,16.3,8.3,18.7,14.2
2011,North Carolina,9662940,6966708,2121466,149759,230161,10746,1673627,475529,6399357,5.7,9.5,27.3,21.8,8.7,17.8,9.2
2011,North Dakota,684830,617960,9381,38019,7540,378,79124,13481,448145,4.5,4.8,26.9,24.4,13.1,19.3,7
2011,Ohio,11543332,9645254,1435399,30179,205721,5445,1836098,510231,7749236,3.3,8.4,34.8,21.1,7.8,15.4,9.2
2011,Oklahoma,3785232,2866144,287752,342211,70429,5646,636083,104248,2469196,4.8,8.9,31.4,24.1,7,16,7.8
2011,Oregon,3865845,3424651,75785,67960,151327,15201,655245,189569,2644754,4.2,6.5,25.1,26.8,8.2,18.4,10.9
2011,Pennsylvania,12742811,10657036,1450469,41297,374742,7548,1690003,506761,8714235,3.6,7.7,37.5,16.6,7.6,16.6,10.4
2011,Rhode Island,1052154,905225,77135,9487,33239,1681,148079,61808,712266,6.4,8.8,26.4,18.9,8.4,18.8,12.3
2011,South Carolina,4672744,3195024,1312050,25004,64879,4047,852999,229623,3110532,5.6,10.3,30.7,20.8,8.6,15.6,8.4
2011,South Dakota,823338,711877,11699,74104,8599,548,112258,20880,537588,4.1,5.3,31.4,23.1,9.7,18.2,8.1
2011,Tennessee,6396281,5081890,1081722,26853,99202,5612,1148161,280645,4294392,6.1,9.7,33.4,21.2,6,15.3,8.3
2011,Texas,25644424,20729572,3140827,255980,1058418,32631,4627604,969403,16074391,9.5,9.4,25.5,22.6,6.5,17.7,8.7
2011,Utah,2815430,2590068,35002,41722,61002,26657,377396,91107,1608668,3.2,6.5,23.7,27.7,9.2,20.1,9.7
2011,Vermont,626210,597935,6755,2350,8487,171,71378,19645,434652,2.8,5.5,30.2,17.8,8.4,21.4,14
2011,Virginia,8107548,5782663,1595668,42279,471436,8481,912779,277476,5418844,4.8,7.3,25.6,20.1,7,20.5,14.6
2011,Washington,6819155,5583757,261132,126318,514073,45052,931605,321238,4583426,4.2,5.6,23.8,24.7,9.7,20.2,11.7
2011,West Virginia,1854891,1745926,64409,4083,13271,531,336658,65049,1294198,5.8,10,41.6,17.7,6.4,11.7,6.8
2011,Wisconsin,5705812,5040333,371285,61496,137649,2607,728099,238763,3831373,3.4,6.3,33.1,21.3,9.6,17.4,9
2011,Wyoming,567602,531732,5517,14781,4899,496,62801,17796,375608,1.8,6.2,30.8,26.6,9.9,16.5,8.3
2012,Alabama,4813946,3370390,1275479,32849,59970,4983,896515,173047,3209646,5.3,10.7,31.3,22,7.4,14.7,8.6
2012,Alaska,730825,492880,26534,109245,42392,8658,77494,26045,464594,3,5,28,27.7,8.2,17.1,10.9
2012,Arizona,6544211,5512632,297370,347886,204073,16778,1195931,252529,4280464,6.4,7.9,24.3,25.7,8.4,17.2,10.2
2012,Arkansas,2949208,2360226,459286,27248,41679,7527,560928,101626,1949382,5.4,9.8,35.2,22.5,6.1,13.8,7.2
2012,California,38019006,28035568,2505546,629860,5296441,187452,6323433,1921121,24779784,10.1,8.4,20.6,22.1,7.9,19.6,11.3
2012,Colorado,5186330,4573134,224583,80799,155809,9159,688715,217281,3444654,4,5.4,21.8,22.9,8.4,23.8,13.7
2012,Connecticut,3597705,2945896,403068,17792,152339,3624,370537,157581,2457978,4.2,6,27.8,17.6,7.4,20.5,16.6
2012,Delaware,916868,653516,202734,5901,32353,732,113316,32115,618612,4.1,7.4,31.5,20.3,7.2,18.1,11.4
2012,District of Columbia,635630,273572,317623,3509,24010,898,112719,66010,439531,4.4,7,18.4,14,3.2,23,30
2012,Florida,19341327,15124273,3227922,93421,510869,20265,3248276,794324,13503747,5.3,8.2,29.8,20.8,9.2,17.3,9.6
2012,Georgia,9911171,6210780,3100728,49711,356311,10944,1852459,439284,6403838,5.6,9.4,28.3,21.4,7.1,17.8,10.4
2012,Hawaii,1392772,358380,26496,5254,535725,142744,159988,38883,952281,4.3,5.3,28.3,22,10,19.6,10.5
2012,Idaho,1594673,1496898,11827,26967,21575,2923,250203,55552,1012786,4.1,6.1,27.7,27.6,9,17.3,8.2
2012,Illinois,12878494,10026655,1900585,74228,644970,7724,1847371,591223,8558895,5.6,6.8,27,21.4,7.6,19.7,12
2012,Indiana,6535665,5654682,616400,25163,119533,3741,984948,264286,4278945,4,8.4,35.3,20.7,8.1,15,8.4
2012,Iowa,3074386,2848688,97259,14454,62340,2710,377110,83262,2036993,3.2,5.2,32.3,21.9,11.1,18.1,8.2
2012,Kansas,2885316,2518400,177546,33697,75504,2803,392095,85098,1863224,3.7,6.1,27.3,24.4,8,19.5,10.9
2012,Kentucky,4383673,3886508,353153,12404,55680,3348,821067,167965,2935461,7,9.3,34.1,20.7,7.2,12.9,8.9
2012,Louisiana,4602681,2929748,1491898,34339,77567,2801,900395,147143,3006605,6,11,34.3,21.5,5.3,14.4,7.5
2012,Maine,1328101,1265690,17815,8932,14680,411,186484,52519,947017,3,5.5,34.8,19.8,9.1,18.1,9.8
2012,Maryland,5891680,3575471,1776134,31896,353547,5695,597705,217340,3972135,4.4,6.6,26.1,19.8,6.3,20,16.9
2012,Massachusetts,6659627,5556792,535061,31082,393584,6250,762971,232630,4556609,4.7,5.7,25.9,16.8,7.6,22.2,17.1
2012,Michigan,9886610,7922672,1414290,69769,262449,3634,1677776,426037,6621018,3.2,7.6,30.6,23.9,8.7,16,10
2012,Minnesota,5377695,4646342,300835,70501,237751,3145,597515,165215,3600744,3.1,4.4,26.4,22.3,10.6,22.4,10.8
2012,Mississippi,2982963,1789364,1114127,17174,28110,1649,689116,118340,1911968,5.7,12,30.6,22.7,8.4,13,7.6
2012,Missouri,6023267,5048733,707198,31722,107913,7865,945435,210034,4023641,3.9,8.1,31.6,22.8,7.1,16.7,9.7
2012,Montana,1003522,899875,5440,65832,7156,768,153105,30311,686770,2,5.2,29.7,25.3,8.4,20.2,9.2
2012,Nebraska,1854862,1666420,89051,24920,37408,2136,230375,40552,1206908,4,5.5,27.7,24.1,9.8,19.3,9.7
2012,Nevada,2752410,2122218,244461,44243,217379,19877,441373,153671,1840642,6,9.1,28.8,26.2,7.5,14.8,7.5
2012,New Hampshire,1320923,1247621,17859,3644,31365,557,123773,40726,919883,2.4,5.8,29.4,18.4,9.5,21.9,12.6
2012,New Jersey,8882095,6547455,1303085,51355,798915,8365,934277,428047,6049352,5.3,6.4,28.7,17.1,6.2,22.5,13.8
2012,New Mexico,2083590,1733076,50130,215353,33270,3252,421123,66178,1360330,6.9,8.7,26.5,23.6,8.2,14.9,11.2
2012,New York,19625409,13952914,3437157,187235,1581263,25267,3040207,818847,13309761,6.7,8,26.9,16.5,8.5,19,14.4
2012,North Carolina,9755299,7010605,2148096,151780,242489,11149,1706255,434382,6489883,5.8,9.1,27.1,22,8.7,18,9.3
2012,North Dakota,701380,630670,10883,38822,8300,401,75251,12193,457904,4,4.3,28,23.5,12.3,19.6,8.4
2012,Ohio,11546969,9626717,1443135,30520,213773,5574,1818886,421590,7770716,3.1,8.1,34.6,20.9,8.1,16,9.3
2012,Oklahoma,3815298,2881434,290906,346192,73896,6086,636134,94605,2487456,4.6,8.8,31.6,24,7.3,15.8,7.9
2012,Oregon,3893920,3441306,77192,69019,156456,15695,651302,172649,2671772,3.7,6.4,25.1,26.7,8.2,18.6,11.3
